1;Álava;VI
2;Albacete;AB
3;Alicante;A
4;Almería;AL
5;Ávila;AV
6;Badajoz;BA
7;Baleares;PM / IB
8;Barcelona;B
9;Burgos;BU
10;Cáceres;CC
11;Cádiz;CA
12;Castellón;CS
13;Ciudad Real;CR
14;Córdoba;CO
15;La Coruña;C
16;Cuenca;CU
17;Gerona;GE / GI
18;Granada;GR
19;Guadalajara;GU
20;Guipúzcoa;SS
21;Huelva;H
22;Huesca;HU
23;Jaén;J
24;León;LE
25;Lérida;L
26;La Rioja;LO
27;Lugo;LU
28;Madrid;M
29;Málaga;MA
30;Murcia;MU
31;Navarra;NA
32;Orense;OR / OU
33;Asturias;O
34;Palencia;P
35;Las Palmas;GC
36;Pontevedra;PO
37;Salamanca;SA
38;Santa Cruz de Tenerife;TF
39;Cantabria;S
40;Segovia;SG
41;Sevilla;SE
42;Soria;SO
43;Tarragona;T
44;Teruel;TE
45;Toledo;TO
46;Valencia;V
47;Valladolid;VA
48;Vizcaya;BI
49;Zamora;ZA
50;Zaragoza;Z
51;Ceuta;CE
52;Melilla;ML
